"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6334","Check if correct list request is triggered when switching between cohort and cohort def libraries","chromium","Fri Mar 06 13:43:11 UTC 2026","passed","Fri Mar 06 13:43:17 UTC 2026","","lists/lists-reloading.spec.ts","",""
"","15409","Generate measure from code list","chromium","Fri Mar 06 13:42:58 UTC 2026","passed","Fri Mar 06 13:43:14 UTC 2026","","lists/code-list-library.spec.ts","",""
"","11989","Should be able to create a continuous episodes measure by browsing categories","chromium","Fri Mar 06 13:43:57 UTC 2026","passed","Fri Mar 06 13:44:09 UTC 2026","","measures/continuous-episodes.spec.ts","",""
"","150121","Should execute Comparative Safety analysis and validate the results","chromium","Fri Mar 06 13:38:30 UTC 2026","passed","Fri Mar 06 13:41:00 UTC 2026","","analysis/analysis-comparative-safety.spec.ts","",""
"","13856","Should allow configuration of trends in statistical plan","chromium","Fri Mar 06 13:38:30 UTC 2026","passed","Fri Mar 06 13:38:44 UTC 2026","","analysis/analysis-descriptive.spec.ts","",""
"","16607","Import patient characteristics","chromium","Fri Mar 06 13:40:42 UTC 2026","passed","Fri Mar 06 13:40:59 UTC 2026","","analysis/analysis-self-controlled-risk.spec.ts","",""
"","84139","Should create descriptive cohort with sampling and verify all sampling features","chromium","Fri Mar 06 13:42:33 UTC 2026","passed","Fri Mar 06 13:43:57 UTC 2026","","cohorts/cohorts-descriptive.spec.ts","",""
"","80906","Create/execute/rename/move/delete a Associations Analysis Plan","chromium","Fri Mar 06 13:38:13 UTC 2026","passed","Fri Mar 06 13:39:33 UTC 2026","","analysis/analysis-associations.spec.ts","",""
"","139127","Should allow configuration and execution of persistence description analysis","chromium","Fri Mar 06 13:39:10 UTC 2026","passed","Fri Mar 06 13:41:29 UTC 2026","","analysis/analysis-persistence-description.spec.ts","",""
"","7055","Should create an empty project","base-project","Fri Mar 06 13:33:11 UTC 2026","passed","Fri Mar 06 13:33:18 UTC 2026","","setup/base-project.setup.ts","",""
"","14583","Create score measure by search","chromium","Fri Mar 06 13:45:28 UTC 2026","passed","Fri Mar 06 13:45:43 UTC 2026","","measures/score.spec.ts","",""
"","9956","Should not show COUNT_EVENTS and COUNT_TRUE aggregations for patient characteristics","chromium","Fri Mar 06 13:39:00 UTC 2026","passed","Fri Mar 06 13:39:10 UTC 2026","","analysis/analysis-forecasting.spec.ts","",""
"","15242","Show 2 additional day options when ""BETWEEN"" is selected","chromium","Fri Mar 06 13:45:48 UTC 2026","passed","Fri Mar 06 13:46:03 UTC 2026","","measures/sequence-advanced.spec.ts","",""
"","18338","Configure Drug Treatment Pattern measure definition","chromium","Fri Mar 06 13:44:23 UTC 2026","passed","Fri Mar 06 13:44:42 UTC 2026","","measures/drug-treatment-pattern.spec.ts","",""
"","13145","Should update Frequency page when in-use outcome is deleted on the Outcomes and Comorbidities page","chromium","Fri Mar 06 13:38:55 UTC 2026","passed","Fri Mar 06 13:39:08 UTC 2026","","analysis/analysis-forecasting.spec.ts","",""
"","21040","Should create an event overlap measure and allow full configuration","chromium","Fri Mar 06 13:44:44 UTC 2026","passed","Fri Mar 06 13:45:05 UTC 2026","","measures/event-overlap.spec.ts","",""
"","9548","Create, browse, edit and delete a code list","chromium","Fri Mar 06 13:42:55 UTC 2026","passed","Fri Mar 06 13:43:05 UTC 2026","","lists/code-list-library.spec.ts","",""
"","5427","Should see the copyright information on the homepage when signed in.","chromium","Fri Mar 06 13:42:43 UTC 2026","passed","Fri Mar 06 13:42:48 UTC 2026","","homepage.spec.ts","",""
"","144931","Should display sampling chip when using sampled cohort in analysis","chromium","Fri Mar 06 13:38:39 UTC 2026","passed","Fri Mar 06 13:41:04 UTC 2026","","analysis/analysis-descriptive.spec.ts","",""
"","9580","Should filter out all measure types","chromium","Fri Mar 06 13:45:04 UTC 2026","passed","Fri Mar 06 13:45:14 UTC 2026","","measures/measure-types.spec.ts","",""
"","14664","Should be abe to create a continuous episodes measure","chromium","Fri Mar 06 13:43:57 UTC 2026","passed","Fri Mar 06 13:44:12 UTC 2026","","measures/continuous-episodes.spec.ts","",""
"","19552","Should have default order","chromium","Fri Mar 06 13:46:16 UTC 2026","passed","Fri Mar 06 13:46:35 UTC 2026","","reports/reports.spec.ts","",""
"","10438","Configure all analysis plan options","chromium","Fri Mar 06 13:40:46 UTC 2026","passed","Fri Mar 06 13:40:56 UTC 2026","","analysis/analysis-self-controlled-risk.spec.ts","",""
"","118410","Should allow to analyze to view descriptive statistics","chromium","Fri Mar 06 13:46:11 UTC 2026","passed","Fri Mar 06 13:48:09 UTC 2026","","measures/time-categorization.spec.ts","",""
